Gene.Symbol,ENTREZ_GENE_ID
A1BG,1
A2MP1,3
ABCF1,23
ABL2,27
ACADSB,36
ACO1,48
ACOX1,51
ACPP,55
ACTA2 /// ACTA2,59
ACTB,60
ACTG2,72
ACTN1,87
ACVR2A,92
ACVR2B,93
ACVRL1,94
ACY1,95
ADARB1,104
ADARB2,105
ADCY1,107
ADCY5,111
ADCYAP1,116
ADCYAP1R1,117
ADD1,118
ADD2,119
ADH1B,125
ADH4,127
ADORA3,140
ADPRH,141
ADRB1,153
ADRBK2,157
ADSS,159
AP2A1,160
AP1G1,164
AFG3L1P,172
JAG1,182
AKT2,208
ALAS2,212
ALDOA,226
ALDOB,229
ANGPT2,285
ANK1,286
ANK2,287
ANK3,288
ANPEP,290
ANXA1,301
ANXA6,309
ANXA11,311
APBA1,320
APEH,327
BIRC3,330
XIAP,331
APLP2,334
APOB,338
APOC2,344
APOC3,345
APOH,350
KLK3,354
AQP2,359
AQP4,361
AR,367
ARAF,369
ARF1,375
ARF3,377
ARF6,382
ARG1,383
RHOA,387
RHOB,388
RHOC,389
ARHGAP1,392
ARHGAP5,394
RHOH,399
ARNT,405
ARRB1,408
ARSA,410
ARSB,411
ARSD,414
ART4,420
ASCL2,430
ASNS,440
ASPA,443
ASPH,444
ZFHX3,463
ATP1B3,483
ATP2A1,487
ATP2A2,488
ATP2A3,489
ATP2B2,491
ATP2B3,492
ATP5E,514
ATP5F1,515
ATP5G3,518
ATP6V1C1,528
ATP6V0B,533
ATR,545
KIF1A,547
AVPR1A,552
B2M,567
BACH1,571
BAD,572
BAG1,573
BARD1,580
BBS1,582
BBS2,583
BCAT1,586
BCL2L1,598
BCL6,604
BCR,613
BDNF,627
BICD1,636
BID,637
PRDM1,639
BLVRA,644
BMP6,654
BMP8B,656
BMPR1A,657
BMPR1B,658
BMPR2,659
BNIP2,663
BOK,666
DST,667
BRAF,673
ZFP36L2,678
BTC,685
BTD,686
KLF9,687
BTF3,689
C1QC,714
CAPN5,726
C7,730
ZNHIT2,741
LDLRAD4,753
C21orf2,755
TMEM50B,757
MPPED1,758
CA8,767
CA12,771
CACNA1B,774
CACNA1C,775
CACNA1D,776
CACNA1E,777
CACNA2D1,781
CACNB4,785
CALD1,800
CALU,813
CAMK4,814
CAMK2D,817
CAMK2G,818
CANX,821
CAPN1,823
CAPNS1,826
CAPS,828
CAPZA1,829
CARS,833
CASP2,835
CASP9,842
CASR,846
RUNX2,860
RUNX1T1,862
RUNX3,864
CBL,867
CBLB,868
CBS,875
CCKBR,887
KRIT1,889
CCNB1,891
CCND2,894
CCNE1,898
CCNG2,901
CCNT1,904
CCNT2,905
CD5,921
CD8B,926
CD9,928
MS4A1,931
TNFSF8,944
CD36,948
SCARB1,949
SCARB2,950
CD37,951
ENTPD1,953
ENTPD2,954
ENTPD6,955
ENTPD5,957
CD44,960
CD47,961
CD48,962
CD53,963
CD59,966
CDK1,983
7-Sep,989
CDC34,997
CDC42,998
CDH4,1002
CDH6,1004
CDH8,1006
CDH11,1009
CDK6,1021
CDK9,1025
CDKN2B,1030
CDO1,1036
CDS1,1040
CEBPG,1054
CFL1,1072
CFL2,1073
CTSC,1075
CFTR,1080
CGA,1081
CHD1,1105
CHD2,1106
CHEK1,1111
FOXN3,1112
CHM,1121
CHML,1122
CHRM1,1128
CHRM3,1131
CHRNB2,1141
CIRBP,1153
CISH,1154
CLCN4,1183
CLCN5,1184
CLK3,1198
CLNS1A,1207
CLTC,1213
CMKLR1,1240
LTB4R,1241
PLK3,1263
CNTN1,1272
COL1A2,1278
COL3A1,1281
COL4A4,1286
COL4A5,1287
COL8A1,1295
COL9A2,1298
COL11A1,1301
COL12A1,1303
COPB1,1315
KLF6,1316
SLC31A1,1317
MAP3K8,1326
COX4I1,1327
COX6A1,1337
COX7B,1349
COX15,1355
CP,1356
CPD,1362
CPM,1368
CR1,1378
CR1L,1379
CR2,1380
CREB1,1385
CREBBP,1387
CREM,1390
HAPLN1,1404
CRX,1406
CRYBB2P1,1416
CRYGS,1427
CSNK1A1,1452
CSNK1E,1454
CSNK1G3,1456
CSNK2A2,1459
CST3,1471
AX747517 /// CST6,1474
CSTB,1476
CSTF2,1478
CSTF3,1479
CTLA4,1493
CTNNB1,1499
CTSB,1508
CTSS,1520
CUX1,1523
CXADR,1525
CYBA,1535
CYBB,1536
CYP3A4,1576
CYP3A5,1577
CYP8B1,1582
CYP19A1,1588
DAB1,1600
DAB2,1601
DACH1,1602
DAD1,1603
DGKG,1608
DGKQ,1609
DAPK3,1613
DBH,1621
DBT,1629
DCC,1630
DCN,1634
ACE,1636
DDX5,1655
DDX6,1656
DMXL1,1657
DHX8,1659
DDX11,1663
DFFA,1676
DGUOK,1716
1-Sep,1731
DIO2,1734
DLD,1738
DLG1,1739
DLG2,1740
DLX1,1745
DLX3,1747
DLX6,1750
DMD,1756
SARDH,1757
DNAH5,1767
DNAH6,1768
DNAH8,1769
DNAH9,1770
DNASE1,1773
DYNC1H1,1778
DYNC1I2,1781
DYNC1LI2,1783
TRDMT1,1787
DNMT3A,1788
DOCK1,1793
DPP6,1804
DPYSL3,1809
DR1,1810
ARID3A,1820
DSC2,1824
DSC3,1825
DSCAM,1826
DSG3,1830
TSC22D3,1831
SLC26A2,1836
DTNA,1837
HBEGF,1839
DTX1,1840
DUSP1,1843
DUSP4,1846
DYRK1A,1859
E2F2,1870
EBF1,1879
ECT2,1894
S1PR3,1903
EDN1,1906
PHC1,1911
PHC2,1912
EEF1A1,1915
EEF2,1938
EFNA2,1943
EFNA5,1946
MEGF6,1953
MEGF8,1954
EGFR,1956
EGR1,1958
EGR4,1961
EIF2S3,1968
EIF4E,1977
EIF4EBP2,1979
EIF4G2,1982
CELA1,1990
SERPINB1,1992
ELAVL2,1993
ELAVL1,1994
ELAVL3,1995
ELAVL4,1996
ELF2,1998
ELF3,1999
ELK4,2005
EMP1,2012
EMP2,2013
ENO1,2023
ENO3,2027
ENSA,2029
EPB41,2035
EPB41L1,2036
